PlayerName,team,opp,Prop,Over_Under,betrivers,draftkings,fanduel,mgm,Value,Implied_Prob
Austin Gomber,COL,LAD,Strikeouts,Under,(3.5) -104,(3.5) 110,(3.5) -104,(3.5) 110,4.0,49.3%
Slade Cecconi,ARI,@WSH,Strikeouts,Over,(3.5) -130,(3.5) -110,(3.5) -113,(3.5) -120,3.5,54.12%
Slade Cecconi,ARI,@WSH,Strikeouts,Under,(3.5) -103,(3.5) -115,(3.5) -113,(3.5) -105,3.5,52.12%
Austin Gomber,COL,LAD,Strikeouts,Over,(3.5) -129,(3.5) -140,(3.5) -122,(3.5) -140,4.0,56.99%
Jonathan Cannon,CWS,HOU,Strikeouts,Over,(3.5) -152,(3.5) -155,(3.5) -150,(3.5) -175,4.0,61.18%
Hogan Harris,OAK,KC,Strikeouts,Over,(4.5) 143,(4.5) 135,(3.5) -166,(4.5) 130,4.0,47.4%
Casey Mize,DET,@ATL,Strikeouts,Over,None,(3.5) -155,(3.5) -174,(3.5) -155,4.0,61.69%
Bryce Miller,SEA,@CLE,Strikeouts,Over,(4.5) 150,(3.5) -160,(3.5) -178,(3.5) -165,4.0,56.96%
Jonathan Cannon,CWS,HOU,Strikeouts,Under,(3.5) 114,(3.5) 120,(3.5) 118,(3.5) 130,4.0,45.38%
Hogan Harris,OAK,KC,Strikeouts,Under,(4.5) 118,(4.5) -190,(3.5) 130,(4.5) -175,4.0,54.63%
Casey Mize,DET,@ATL,Strikeouts,Under,None,(3.5) 120,(3.5) 136,(3.5) 120,4.0,44.43%
Bryce Miller,SEA,@CLE,Strikeouts,Under,(4.5) 117,(3.5) 125,(3.5) 138,(3.5) 130,4.0,44.01%
Aaron Nola,PHI,SD,Strikeouts,Under,(5.5) 117,(4.5) 120,(4.5) -102,(4.5) 115,5.0,47.14%
Luis Severino,NYM,@TEX,Strikeouts,Over,(4.5) -105,(4.5) -105,(4.5) -104,(4.5) ,4.5,51.14%
Michael Lorenzen,TEX,NYM,Strikeouts,Under,(4.5) -122,(4.5) -105,(4.5) -108,(4.5) ,4.5,52.7%
