PlayerName,team,opp,Prop,Over_Under,draftkings,fanduel,mgm
Aaron Civale,TB,WSH,strikeouts,Over,(4.5) -115,(4.5) -118,(4.5) -120
Aaron Civale,TB,WSH,strikeouts,Under,(4.5) -110,(4.5) -108,(4.5) -110
Aaron Judge,NYY,@TOR,bases,Over,(1.5) -105,,(1.5) -105
Aaron Judge,NYY,@TOR,bases,Under,(1.5) -130,,(1.5) -125
Aaron Judge,NYY,@TOR,runs,Over,(0.5) -120,,(0.5) -120
Aaron Judge,NYY,@TOR,runs,Under,(0.5) -110,,(0.5) -110
Aaron Nola,PHI,MIA,strikeouts,Over,(6.5) 110,(6.5) 120,(6.5) 
Aaron Nola,PHI,MIA,strikeouts,Under,(6.5) -140,(6.5) -152,(6.5) 
Adolis Garcia,TEX,@BAL,bases,Over,(1.5) 105,,(1.5) 105
Adolis Garcia,TEX,@BAL,bases,Under,(1.5) -140,,(1.5) -140
Adolis Garcia,TEX,@BAL,runs,Over,(0.5) 100,,(0.5) 100
Adolis Garcia,TEX,@BAL,runs,Under,(0.5) -135,,(0.5) -135
Alec Bohm,PHI,MIA,bases,Over,(1.5) -115,,(1.5) -115
Alec Bohm,PHI,MIA,bases,Under,(1.5) -120,,(1.5) -115
Alec Bohm,PHI,MIA,runs,Over,(0.5) -115,,(0.5) -115
Alec Bohm,PHI,MIA,runs,Under,(0.5) -120,,(0.5) -115
Alec Burleson,STL,CIN,bases,Over,(1.5) 105,,(1.5) 110
Alec Burleson,STL,CIN,bases,Under,(1.5) -145,,(1.5) -145
Alec Burleson,STL,CIN,runs,Over,(0.5) 110,,(0.5) 110
Alec Burleson,STL,CIN,runs,Under,(0.5) -150,,(0.5) -145
Alex Bregman,HOU,@NYM,bases,Over,(1.5) 125,,(1.5) 125
Alex Bregman,HOU,@NYM,bases,Under,(1.5) -170,,(1.5) -165
Alex Bregman,HOU,@NYM,runs,Over,(0.5) -105,,(0.5) 100
Alex Bregman,HOU,@NYM,runs,Under,(0.5) -130,,(0.5) -135
Alex Verdugo,NYY,@TOR,bases,Over,(1.5) 125,,(1.5) 125
Alex Verdugo,NYY,@TOR,bases,Under,(1.5) -170,,(1.5) -160
Alex Verdugo,NYY,@TOR,runs,Over,(0.5) 140,,(0.5) 145
Alex Verdugo,NYY,@TOR,runs,Under,(0.5) -190,,(0.5) -190
Andres Gimenez,CLE,@KC,bases,Over,(1.5) 155,,
Andres Gimenez,CLE,@KC,bases,Under,(1.5) -215,,
Andres Gimenez,CLE,@KC,runs,Over,(0.5) 175,,
Andres Gimenez,CLE,@KC,runs,Under,(0.5) -245,,
Andrew Benintendi,CWS,COL,bases,Over,(1.5) 120,,(1.5) 120
Andrew Benintendi,CWS,COL,bases,Under,(1.5) -160,,(1.5) -160
Andrew Benintendi,CWS,COL,runs,Over,(0.5) -110,,(0.5) -110
Andrew Benintendi,CWS,COL,runs,Under,(0.5) -120,,(0.5) -120
Andrew McCutchen,PIT,@ATL,bases,Over,(1.5) 130,,(1.5) 135
Andrew McCutchen,PIT,@ATL,bases,Under,(1.5) -180,,(1.5) -175
Andrew McCutchen,PIT,@ATL,runs,Over,(0.5) 100,,(0.5) 105
Andrew McCutchen,PIT,@ATL,runs,Under,(0.5) -135,,(0.5) -135
Andrew Vaughn,CWS,COL,bases,Over,(1.5) -105,,(1.5) 100
Andrew Vaughn,CWS,COL,bases,Under,(1.5) -130,,(1.5) -130
Andrew Vaughn,CWS,COL,runs,Over,(0.5) 100,,(0.5) 100
Andrew Vaughn,CWS,COL,runs,Under,(0.5) -135,,(0.5) -135
Anthony Volpe,NYY,@TOR,bases,Over,(1.5) 130,,(1.5) 130
Anthony Volpe,NYY,@TOR,bases,Under,(1.5) -175,,(1.5) -165
Anthony Volpe,NYY,@TOR,runs,Over,(0.5) -105,,(0.5) -105
Anthony Volpe,NYY,@TOR,runs,Under,(0.5) -130,,(0.5) -125
Austin Riley,ATL,PIT,bases,Over,(1.5) 125,,(1.5) 125
Austin Riley,ATL,PIT,bases,Under,(1.5) -170,,(1.5) -165
Austin Riley,ATL,PIT,runs,Over,(0.5) 135,,(0.5) 140
Austin Riley,ATL,PIT,runs,Under,(0.5) -185,,(0.5) -185
Austin Wells,NYY,@TOR,bases,Over,(0.5) -180,,(0.5) -175
Austin Wells,NYY,@TOR,bases,Under,(0.5) 130,,(0.5) 135
Austin Wells,NYY,@TOR,runs,Over,(0.5) 145,,(0.5) 150
Austin Wells,NYY,@TOR,runs,Under,(0.5) -200,,(0.5) -200
Ben Rice,NYY,@TOR,bases,Over,(0.5) -170,,(0.5) -165
Ben Rice,NYY,@TOR,bases,Under,(0.5) 125,,(0.5) 125
Ben Rice,NYY,@TOR,runs,Over,(0.5) 140,,(0.5) 145
Ben Rice,NYY,@TOR,runs,Under,(0.5) -195,,(0.5) -190
Ben Rortvedt,TB,WSH,bases,Over,(0.5) -125,,(0.5) -120
Ben Rortvedt,TB,WSH,bases,Under,(0.5) -110,,(0.5) -110
Ben Rortvedt,TB,WSH,runs,Over,(0.5) 205,,(0.5) 210
Ben Rortvedt,TB,WSH,runs,Under,(0.5) -295,,(0.5) -275
Blake Perkins,MIL,CHC,bases,Over,(0.5) -150,,(0.5) -145
Blake Perkins,MIL,CHC,bases,Under,(0.5) 110,,(0.5) 110
Blake Perkins,MIL,CHC,runs,Over,(0.5) 180,,(0.5) 180
Blake Perkins,MIL,CHC,runs,Under,(0.5) -250,,(0.5) -250
Bo Bichette,TOR,NYY,bases,Over,(1.5) -125,,(1.5) -120
Bo Bichette,TOR,NYY,bases,Under,(1.5) -110,,(1.5) -105
Bo Bichette,TOR,NYY,runs,Over,(0.5) -115,,(0.5) -115
Bo Bichette,TOR,NYY,runs,Under,(0.5) -120,,(0.5) -110
Bobby Witt,KC,CLE,bases,Over,(1.5) -110,,
Bobby Witt,KC,CLE,bases,Under,(1.5) -125,,
Bobby Witt,KC,CLE,runs,Over,(0.5) 100,,
Bobby Witt,KC,CLE,runs,Under,(0.5) -135,,
Brandon Lowe,TB,WSH,bases,Over,(1.5) 130,,(1.5) 130
Brandon Lowe,TB,WSH,bases,Under,(1.5) -175,,(1.5) -165
Brandon Lowe,TB,WSH,runs,Over,(0.5) 115,,(0.5) 120
Brandon Lowe,TB,WSH,runs,Under,(0.5) -155,,(0.5) -155
Brandon Marsh,PHI,MIA,bases,Over,(1.5) 135,,(1.5) 135
Brandon Marsh,PHI,MIA,bases,Under,(1.5) -185,,(1.5) -185
Brandon Marsh,PHI,MIA,runs,Over,(0.5) -115,,(0.5) -115
Brandon Marsh,PHI,MIA,runs,Under,(0.5) -115,,(0.5) -110
Brandon Nimmo,NYM,HOU,bases,Over,(0.5) -205,,(0.5) -200
Brandon Nimmo,NYM,HOU,bases,Under,(0.5) 150,,(0.5) 150
Brandon Nimmo,NYM,HOU,runs,Over,(0.5) 115,,(0.5) 115
Brandon Nimmo,NYM,HOU,runs,Under,(0.5) -155,,(0.5) -150
Brayan Rocchio,CLE,@KC,bases,Over,(0.5) -140,,
Brayan Rocchio,CLE,@KC,bases,Under,(0.5) 100,,
Brayan Rocchio,CLE,@KC,runs,Over,(0.5) 205,,
Brayan Rocchio,CLE,@KC,runs,Under,(0.5) -285,,
Brendan Donovan,STL,CIN,bases,Over,(1.5) 145,,(1.5) 150
Brendan Donovan,STL,CIN,bases,Under,(1.5) -195,,(1.5) -200
Brendan Donovan,STL,CIN,runs,Over,(0.5) 145,,(0.5) 150
Brendan Donovan,STL,CIN,runs,Under,(0.5) -200,,(0.5) -200
Brendan Rodgers,COL,@CWS,bases,Over,(1.5) 115,,(1.5) 115
Brendan Rodgers,COL,@CWS,bases,Under,(1.5) -155,,(1.5) -150
Brendan Rodgers,COL,@CWS,runs,Over,(0.5) 125,,(0.5) 125
Brendan Rodgers,COL,@CWS,runs,Under,(0.5) -165,,(0.5) -160
Brenton Doyle,COL,@CWS,bases,Over,(1.5) 120,,(1.5) 125
Brenton Doyle,COL,@CWS,bases,Under,(1.5) -165,,(1.5) -160
Brenton Doyle,COL,@CWS,runs,Over,(0.5) 110,,(0.5) 110
Brenton Doyle,COL,@CWS,runs,Under,(0.5) -145,,(0.5) -145
Brice Turang,MIL,CHC,bases,Over,(0.5) -145,,(0.5) -140
Brice Turang,MIL,CHC,bases,Under,(0.5) 105,,(0.5) 110
Brice Turang,MIL,CHC,runs,Over,(0.5) 175,,(0.5) 175
Brice Turang,MIL,CHC,runs,Under,(0.5) -240,,(0.5) -250
Bryan De La Cruz,MIA,@PHI,bases,Over,(1.5) 125,,(1.5) 125
Bryan De La Cruz,MIA,@PHI,bases,Under,(1.5) -170,,(1.5) -160
Bryan De La Cruz,MIA,@PHI,runs,Over,(0.5) 135,,(0.5) 140
Bryan De La Cruz,MIA,@PHI,runs,Under,(0.5) -185,,(0.5) -185
Bryan Reynolds,PIT,@ATL,bases,Over,(1.5) 120,,(1.5) 120
Bryan Reynolds,PIT,@ATL,bases,Under,(1.5) -165,,(1.5) -160
Bryan Reynolds,PIT,@ATL,runs,Over,(0.5) 120,,(0.5) 120
Bryan Reynolds,PIT,@ATL,runs,Under,(0.5) -165,,(0.5) -155
Bryce Johnson,SD,@BOS,bases,Over,(0.5) -160,,(0.5) -155
Bryce Johnson,SD,@BOS,bases,Under,(0.5) 115,,(0.5) 120
Bryce Johnson,SD,@BOS,runs,Over,(0.5) 170,,(0.5) 175
Bryce Johnson,SD,@BOS,runs,Under,(0.5) -235,,(0.5) -225
Bryce Miller,SEA,MIN,strikeouts,Over,(4.5) -135,(5.5) 120,(4.5) -140
Bryce Miller,SEA,MIN,strikeouts,Under,(4.5) 105,(5.5) -152,(4.5) 105
