PlayerName,team,opp,Prop,Over_Under,betrivers,draftkings,fanduel
Alyssa Thomas,CON,@PHO,ast,Over,(7.5) -115,(7.5) 100,(7.5) -114
Alyssa Thomas,CON,@PHO,ast,Under,(7.5) -115,(7.5) -130,(7.5) -114
Alyssa Thomas,CON,@PHO,pts,Over,(12.5) -115,(12.5) -115,(12.5) -114
Alyssa Thomas,CON,@PHO,pts,Under,(12.5) -115,(12.5) -115,(12.5) -114
Alyssa Thomas,CON,@PHO,reb,Over,(8.5) -139,(8.5) -140,(8.5) -140
Alyssa Thomas,CON,@PHO,reb,Under,(8.5) 105,(8.5) 110,(8.5) 106
Alyssa Thomas,CON,@PHO,threes,Over,(8.5) 105,(8.5) 110,(8.5) 106
Alyssa Thomas,CON,@PHO,threes,Under,(8.5) 105,(8.5) 110,(8.5) 106
Arike Ogunbowale,DAL,@SEA,ast,Over,(4.5) -110,(4.5) 100,(4.5) -110
Arike Ogunbowale,DAL,@SEA,ast,Under,(4.5) -121,(4.5) -130,(4.5) -120
Arike Ogunbowale,DAL,@SEA,pts,Over,(22.5) -110,(22.5) -120,(22.5) -110
Arike Ogunbowale,DAL,@SEA,pts,Under,(22.5) -121,(22.5) -110,(22.5) -118
Arike Ogunbowale,DAL,@SEA,reb,Over,(4.5) -121,(22.5) -110,(4.5) -120
Arike Ogunbowale,DAL,@SEA,reb,Under,(4.5) -110,(22.5) -110,(4.5) -110
Arike Ogunbowale,DAL,@SEA,threes,Over,(3.5) 135,(2.5) -165,(3.5) 134
Arike Ogunbowale,DAL,@SEA,threes,Under,(3.5) -182,(2.5) 120,(3.5) -180
Brionna Jones,CON,@PHO,ast,Over,(3.5) -182,(2.5) 120,(3.5) -180
Brionna Jones,CON,@PHO,ast,Under,(3.5) -182,(2.5) 120,(3.5) -180
Brionna Jones,CON,@PHO,pts,Over,(13.5) -121,(13.5) -125,(13.5) -120
Brionna Jones,CON,@PHO,pts,Under,(13.5) -110,(13.5) -105,(13.5) -108
Brionna Jones,CON,@PHO,reb,Over,(5.5) 125,(5.5) 120,(5.5) 128
Brionna Jones,CON,@PHO,reb,Under,(5.5) -167,(5.5) -154,(5.5) -172
Brionna Jones,CON,@PHO,threes,Over,(5.5) -167,(5.5) -154,(5.5) -172
Brionna Jones,CON,@PHO,threes,Under,(5.5) -167,(5.5) -154,(5.5) -172
Brittney Griner,PHO,CON,ast,Over,(5.5) -167,(5.5) -154,(5.5) -172
Brittney Griner,PHO,CON,ast,Under,(5.5) -167,(5.5) -154,(5.5) -172
Brittney Griner,PHO,CON,pts,Over,(19.5) -125,(19.5) -115,(19.5) -115
Brittney Griner,PHO,CON,pts,Under,(19.5) -107,(19.5) -115,(19.5) -113
Brittney Griner,PHO,CON,reb,Over,(7.5) -121,(7.5) -135,(7.5) -122
Brittney Griner,PHO,CON,reb,Under,(7.5) -110,(7.5) 105,(7.5) -108
Brittney Griner,PHO,CON,threes,Over,(7.5) -110,(7.5) 105,(7.5) -108
Brittney Griner,PHO,CON,threes,Under,(7.5) -110,(7.5) 105,(7.5) -108
DeWanna Bonner,CON,@PHO,ast,Over,(7.5) -110,(7.5) 105,(7.5) -108
DeWanna Bonner,CON,@PHO,ast,Under,(7.5) -110,(7.5) 105,(7.5) -108
DeWanna Bonner,CON,@PHO,pts,Over,(16.5) -115,(16.5) -110,(16.5) -108
DeWanna Bonner,CON,@PHO,pts,Under,(16.5) -115,(16.5) -120,(16.5) -120
DeWanna Bonner,CON,@PHO,reb,Over,(6.5) 100,(6.5) 100,(6.5) 100
DeWanna Bonner,CON,@PHO,reb,Under,(6.5) -132,(6.5) -130,(6.5) -132
DeWanna Bonner,CON,@PHO,threes,Over,(1.5) -148,(1.5) -130,(1.5) -146
DeWanna Bonner,CON,@PHO,threes,Under,(1.5) 110,(1.5) -105,(1.5) 110
DiJonai Carrington,CON,@PHO,ast,Over,(1.5) 110,(1.5) -105,(1.5) 110
DiJonai Carrington,CON,@PHO,ast,Under,(1.5) 110,(1.5) -105,(1.5) 110
DiJonai Carrington,CON,@PHO,pts,Over,(13.5) 105,(13.5) 110,(13.5) 102
DiJonai Carrington,CON,@PHO,pts,Under,(13.5) -139,(13.5) -140,(13.5) -132
DiJonai Carrington,CON,@PHO,reb,Over,(4.5) 100,(13.5) -140,(4.5) 108
DiJonai Carrington,CON,@PHO,reb,Under,(4.5) -132,(13.5) -140,(4.5) -144
DiJonai Carrington,CON,@PHO,threes,Over,(4.5) -132,(13.5) -140,(4.5) -144
DiJonai Carrington,CON,@PHO,threes,Under,(4.5) -132,(13.5) -140,(4.5) -144
Diana Taurasi,PHO,CON,ast,Over,(3.5) -155,(13.5) -140,(3.5) -152
Diana Taurasi,PHO,CON,ast,Under,(3.5) 115,(13.5) -140,(3.5) 114
Diana Taurasi,PHO,CON,pts,Over,(14.5) -132,(14.5) -125,(14.5) -118
Diana Taurasi,PHO,CON,pts,Under,(14.5) 100,(14.5) -105,(14.5) -110
Diana Taurasi,PHO,CON,reb,Over,(4.5) -107,(14.5) -105,(4.5) -106
Diana Taurasi,PHO,CON,reb,Under,(4.5) -125,(14.5) -105,(4.5) -125
Diana Taurasi,PHO,CON,threes,Over,(2.5) 105,(2.5) 100,(2.5) 102
Diana Taurasi,PHO,CON,threes,Under,(2.5) -139,(2.5) -135,(2.5) -136
Ezi Magbegor,SEA,DAL,ast,Over,(2.5) -150,(2.5) -135,(2.5) -136
Ezi Magbegor,SEA,DAL,ast,Under,(2.5) 112,(2.5) -135,(2.5) 102
Ezi Magbegor,SEA,DAL,pts,Over,(13.5) -132,(13.5) -130,(13.5) -130
Ezi Magbegor,SEA,DAL,pts,Under,(13.5) 100,(13.5) 100,(13.5) 100
Ezi Magbegor,SEA,DAL,reb,Over,(8.5) 110,(8.5) 110,(8.5) 108
Ezi Magbegor,SEA,DAL,reb,Under,(8.5) -148,(8.5) -140,(8.5) -144
Ezi Magbegor,SEA,DAL,threes,Over,(8.5) -148,(8.5) -140,(8.5) -144
Ezi Magbegor,SEA,DAL,threes,Under,(8.5) -148,(8.5) -140,(8.5) -144
Jewell Loyd,SEA,DAL,ast,Over,(4.5) 100,(4.5) 105,(4.5) 102
Jewell Loyd,SEA,DAL,ast,Under,(4.5) -132,(4.5) -135,(4.5) -136
Jewell Loyd,SEA,DAL,pts,Over,(21.5) -118,(21.5) -120,(21.5) -118
Jewell Loyd,SEA,DAL,pts,Under,(21.5) -113,(21.5) -110,(21.5) -110
Jewell Loyd,SEA,DAL,reb,Over,(4.5) -115,(21.5) -110,(4.5) -114
Jewell Loyd,SEA,DAL,reb,Under,(4.5) -115,(21.5) -110,(4.5) -114
Jewell Loyd,SEA,DAL,threes,Over,(1.5) -177,(1.5) -185,(1.5) -178
Jewell Loyd,SEA,DAL,threes,Under,(1.5) 130,(1.5) 135,(1.5) 132
Kahleah Copper,PHO,CON,ast,Over,(1.5) 130,(1.5) 135,(1.5) 132
Kahleah Copper,PHO,CON,ast,Under,(1.5) 130,(1.5) 135,(1.5) 132
Kahleah Copper,PHO,CON,pts,Over,(19.5) -121,(19.5) -120,(19.5) -122
